"","ein","fips","nteecc","filer","zfiler","name","address","city","zip5","state","ruledate","level1","level2","level3","nteefinal","cassets","ctotrev","year","address1","address_full","latitude","longitude","tract"
"1",10666441,42079,"B01","Y","N","CORIS PLACE","495 WYOMING ST","hanover twp",18706,"PA",200207,"PC","O","ED","B01",807661,807661,2020,"495 WYOMING ST","495 WYOMING ST, hanover twp, PA, 18706, USA",41.2293339898946,-75.917786972559,"214600"
"2",10687154,42069,"S30","Y","N","NORTHEASTERN ECONOMIC DEVELOPMENT COMPANY OF PA CDC INC","4000 4TH STREET","moosic",18507,"PA",200211,"PC","O","PB","S30",63689,63689,2020,"4000 4TH STREET","4000 4TH STREET, moosic, PA, 18507, USA",41.3535154294449,-75.7289139152629,"112800"
"3",10714452,42079,"N63","Y","Y","WYOMING VALLEY CHALLENGER DIVISION LITTLE LEAGUE","PO BOX 1714","wilkes barre",18703,"PA",200912,"PC","O","HS","N63",7813,7813,2020,"PO BOX 1714","PO BOX 1714, wilkes barre, PA, 18703, USA",41.2403850000001,-75.891755,"200500"
"4",10731702,42069,"B94","Y","Y","PTA PENNSYLVANIA CONGRESS","1 COLUMBUS DR","archbald",18403,"PA",197001,"PC","O","ED","B94",NA,NA,2020,"1 COLUMBUS DR","1 COLUMBUS DR, archbald, PA, 18403, USA",41.4989229857451,-75.5574000047321,"111100"
"5",10783070,42069,"B29","Y","Y","POCONO MOUNTAIN MATHEMATICS SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC","629 EAST DRINKER STREET","dunmore",18512,"PA",200509,"PC","O","ED","B29",NA,NA,2020,"629 EAST DRINKER STREET","629 EAST DRINKER STREET, dunmore, PA, 18512, USA",41.419467991879,-75.6193680016414,"112000"
"6",10835315,42079,"N60","Y","N","UNITED STATES BOWLING CONGRESS INC","170 JANET DR","ashley",18706,"PA",200409,"PC","O","HS","N60",39318,39318,2020,"170 JANET DR","170 JANET DR, ashley, PA, 18706, USA",41.2125739973097,-75.8967960047986,"215100"
"7",10932910,42079,"P20","Y","Y","JAM IN DI LOUNGE","412 LAUREL RUN EST","laurel run",18706,"PA",201206,"PC","O","HS","P20",60,60,2020,"412 LAUREL RUN EST","412 LAUREL RUN EST, laurel run, PA, 18706, USA",41.2289614982334,-75.8471273469605,"215300"
"8",10942231,42069,"P50","Y","Y","YOGA JOURNEYS PRODUCTIONS INC","PO BOX 4261","scranton",18505,"PA",201010,"PC","O","HS","P50",NA,NA,2020,"PO BOX 4261","PO BOX 4261, scranton, PA, 18505, USA",41.3960000000001,-75.6621949999999,"102600"
"9",20565912,42069,"I036","Y","Y","PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION","1180 AUDUBON DR","s abingtn twp",18411,"PA",200510,"O","O","HS","I0360",NA,NA,2020,"1180 AUDUBON DR","1180 AUDUBON DR, s abingtn twp, PA, 18411, USA",41.5200900153816,-75.6692040318945,"110401"
"10",20571966,42079,"E91","N","N","MOUNTAINTOP FAMILY CENTER","209 S MOUNTAIN BLVD","mountain top",18707,"PA",196408,"PC","O","HE","E91",NA,NA,2020,"209 S MOUNTAIN BLVD","209 S MOUNTAIN BLVD, mountain top, PA, 18707, USA",41.1476250184456,-75.8983469921622,"215502"
"11",20601495,42079,"S80","Y","Y","KIWANIS CLUB OF MOUNTAINTOP CHARITABLE FOUNDATION","114 WILDFLOWER DR","wilkes barre",18702,"PA",200206,"PC","O","PB","S80",NA,NA,2020,"114 WILDFLOWER DR","114 WILDFLOWER DR, wilkes barre, PA, 18702, USA",41.2534206382756,-75.8151679077533,"211800"
"12",20605397,42079,"J20","Y","N","GREATER WILKES-BARRE CHAMBER OF BUSINESS & INDUSTRY","2 PUBLIC SQUARE","wilkes barre",18701,"PA",200211,"PC","O","HS","J20",133915,133915,2020,"2 PUBLIC SQUARE","2 PUBLIC SQUARE, wilkes barre, PA, 18701, USA",41.2464457379104,-75.8822068054986,"200100"
"13",20643141,42079,"W30","Y","N","AMERICAN LEGION JESSE THOMAS POST 495 DEPARTMENT OF PENNSYLVANIA INC","575 STATE ROUTE 239","shickshinny",18655,"PA",201605,"O","O","PB","W30",794671,794671,2020,"575 STATE ROUTE 239","575 STATE ROUTE 239, shickshinny, PA, 18655, USA",41.1794580198729,-76.1936189775326,"215900"
"14",20754212,42079,"C32","Y","Y","THE NUANGOLA LAKE ASSOCIATION","PO BOX 231","mountain top",18707,"PA",200606,"PC","O","EN","C32",NA,NA,2020,"PO BOX 231","PO BOX 231, mountain top, PA, 18707, USA",41.1571740000001,-75.8852780999999,"215501"
"15",20799658,42069,"A20","Y","Y","FIRST FRIDAY SCRANTON","PO BOX 20032","scranton",18502,"PA",201405,"PC","O","AR","A20",NA,NA,2020,"PO BOX 20032","PO BOX 20032, scranton, PA, 18502, USA",41.41015,-75.66078,"100200"
"17",30509931,42079,"N20","Y","N","PENNSYLVANIA STATE POLICE-TROOP P CAMP CADET","118 MAIN ST","luzerne",18709,"PA",201411,"PC","O","HS","N20",94487,94487,2020,"118 MAIN ST","118 MAIN ST, luzerne, PA, 18709, USA",41.283469995476,-75.8953184388997,"212300"
"18",42774450,42069,"E92","Y","Y","VNA MANAGEMENT SERVICES INC","301 DELAWARE AVE","olyphant",18447,"PA",198511,"PC","O","HE","E92",256,256,2020,"301 DELAWARE AVE","301 DELAWARE AVE, olyphant, PA, 18447, USA",41.4701290109521,-75.6007760183889,"111400"
"19",43541905,42079,"A33","Y","N","ETRUSCAN PRESS INC","84 W SOUTH ST","wilkes barre",18766,"PA",200103,"PC","O","AR","A33",115036,115036,2020,"84 W SOUTH ST","84 W SOUTH ST, wilkes barre, PA, 18766, USA",41.2449130142317,-75.8910460192203,"200200"
"20",43608411,42069,"B82","Y","N","PJ HS SCHOLARSHIP ORGANIZATION","1000 WYOMING AVE","scranton",18509,"PA",201910,"PC","O","ED","B82",29307,29307,2020,"1000 WYOMING AVE","1000 WYOMING AVE, scranton, PA, 18509, USA",41.4186290052806,-75.6533990314479,"100600"
"21",43623277,42079,"I036","Y","Y","PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION","418 PATLA RD","sweet valley",18656,"PA",200510,"O","O","HS","I0360",NA,NA,2020,"418 PATLA RD","418 PATLA RD, sweet valley, PA, 18656, USA",41.305523017098,-76.195158984603,"215800"
